ID;Categories;Name;Categories;Challenge;1. NO POVERTY;2. ZERO HUNGER;3. GOOD HEALTH & WELL-BEING;4. QUALITY EDUCATION;5. GENDER EQUALITY;6. CLEAN WATER & SANITATION;7. AFFORDABLE & CLEAN ENERGY;8. DECENT WORK & ECONOMIC GROWTH;9. INDUSTRY, INNOVATION & INFRASTRUCTURE;10. REDUCED INEQUALITIES;11. SUSTAINABLE CITIES & COMMUNITIES;12. RESPONSIBLE CONSUMPTION & PRODUCTION;13. CLIMATE ACTION;14. LIFE BELOW WATER;15. LIFE ON LAND;16. PEACE, JUSTICE & STRONG INSTITUTIONS;17. PARTNERSHIPS FOR THE GOALS;1. INFANT AID;2. IMPAIRMENT DEVICES (SIGHT & SOUND);3. DISEASES AID & AWARNESS;4. PROSTHETICS; 5.FOOD SUSTAINABILITY; 6. PERSONAL MOBILITY/AID;7.DISEASES TREATMENT;8. CONSCIENTIUS CONSUMPTION/BEHAVIER;9. SAFETY;10.RECLAIMING THE CITY;11. SELF-SUSTAINING RESOURCES;12. DIGITAL SOCIETY;13. MOBILITY & ALTERNATIV TRANSPORTATION;14. ALTERNATIV ENERGY;15. LIGHT;16.WATER SAVING;17. DISPLACEMENT;18. SAFE WATER;19. FINANSIEL EMPOWERMENT;20. DECENTRALIZATION OF HEALTHCARE (Remote doctors);21. EMPOWER PEOPLE LOCAL;22. PROTECTION FOR WORKERS;23. HEAVY LIFTING/WORK AIDS FOR WORKERS;24. 3 D PRINT;25. SHARING ECONOMY (KNOWLEDGE AND SKILLS);26. PLAY AS PREVENTION OF DISEASE;27. PHYSICAL ENVIRONMENT FOR LEARNING ;28. PURPOSEFUL GAMING;29. Closing the digital divide;30. ALTERNATIVE LEARNING / INFORMATION;31. APPLIED DESIGN THINKING;32. EMPOWERING GIRLS & WOMEN;33. FLEXIBLE LIVING;34. MATERIALS;35. INTERNET OF THINGS;36. SANITATION;37. AFFORDABLE HOUSING;38. PERSONAL EMPOWERMENT;39. BIOMIMICRY;40. CLIMATE ADAPTATION;41. WEARABLES;42. CRISIS RESPONS;43. WASTE MANAGEMENT;44. CIVIL PROMOTION
1;2005;‘c’ system;BODY;Health;;;3;;;;;;;10;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;;;;;;
2;2005;$100 Laptop;PLAY_LEARNING;Digitalization;;;;4;;;;;;10;;;;;;;;;;;;;;;;;;;12;;;;;;;;;21;;;;;;;;29;30;;;;;;;;;;;;;;
3;2005;60 degrees Subway Overhead Support Handle;COMMUNITY;Transportation;;;3;;;;;;;;;;;;;;;;;;;;;;;9;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2005;A Strategy: Moving America Away from Oil;COMMUNITY;Energy;;;;;;;7;;;;11;12;13;;;;;;;;;;;;;;;11;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;
5;2005;Agrobot;COMMUNITY;Enviroment;;2;;;;;;;;;;;13;;15;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2005;AIGA Design for Democracy: Election Design;COMMUNITY;Goverment;;;;;;;;;;10;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;;;;;;44
7;2005;Airman;PLAY_LEARNING;Leisure;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;
8;2005;AMUN – The Pulse of the House;HOME;Energy;;;;;;;;;;;;12;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;
9;2005;Apligraf® Living Skin;BODY;Health;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;34;;;;;;;;;;
10;2005;APPLE iTunes, iPod;PLAY_LEARNING;Digitalization;;;;;;;;;9;;;12;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;
11;2005;ApproTEC MoneyMaker Deep Lift Pump;HOME;Water;;;;;;6;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;18;;;;;;;;;;;;30;;;;;;;;;;;;;;
12;2005;ARCHITECTURE FOR HUMANITY;COMMUNITY;Infrastructure;;;3;;;;;;;;11;;;;;;17;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;31;;;;;;37;;;;;;;
13;2005;Artificial Heart;BODY;Health;;;3;;;;;;9;;;;;;;;;;;;;;;7;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;2005;AXIOM Range of playground products;PLAY_LEARNING;Leisure;;;3;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;26;;;;30;;;;;;;;;;;;;;
15;2005;AXN 300 & AXN 500 outdoor computers;PLAY_LEARNING;Leisure;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;;;
16;2005;Bio Rubber;BODY;Health;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;34;;;;;;;;;;
17;2005;Bios Urn;COMMUNITY;Enviroment;;;;;;;;;;;;;13;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;
18;2005;BIX Communicative Display Skin for the Kunsthaus Graz;COMMUNITY;Infrastructure;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;
19;2005;Bluetooth Technology;WORK;Digitalization;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;2005;Boase;HOME;Housing;;;;;;;;;;;11;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;37;;;;;;;
21;2005;Circles of Care: Improving the hospital experience by empowering the patient’s social network;BODY;Health;;;3;;;;;;;;;;;;;;;;;3;;;;;;;;;12;;;;;;;;;21;;;;;;;;;30;;;;;;;;;;;;;;
22;2005;Claystation;PLAY_LEARNING;Leisure;;;;;;;;;9;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;
23;2005;ClearRx system;BODY;Health;;;;;;;;;;;;12;;;;;;;;3;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;2005;Combined City Vehicle (CCV);BODY;Health;;;;;;;;;;10;11;;;;;;;;;;;;6;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;2005;Copenhagen Habour Bath, Islands Brygge;COMMUNITY;Infrastructure;;;3;;;;;;;;11;;;;;;;;;;;;;;;;10;11;;;;;;;18;;;;;;;;26;;;;;;;;;;;;;;;;;;
26;2005;Corsinel;BODY;Health;;;3;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;2005;Create! Don’t Hate. Campaign for Tolerance;COMMUNITY;Inequality;;;3;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;31;;;;;;;38;;;;;;
28;2005;DiamondHelp;HOME;Digitalization;;;;;;;;;9;;;12;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;
29;2005;DIANE: A ‘Digital ANalysis Environment’ system;BODY;Safety;;;;;;;;8;9;;;;;;;;;;;3;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;2005;drowning.defender;BODY;Safety;;;;;;;;;9;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;2005;DYSON Vacuum Cleaner;HOME;Sustainable living;;;;;;;;;9;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;2005;E-BAY, newest version;COMMUNITY;Infrastructure;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;
33;2005;Eifelland DESEO, light-weight and absolute low-price caravan;PLAY_LEARNING;Leisure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;2005;Electric powered vehicle;COMMUNITY;Transportation;;;3;;;;;;;10;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;2005;Fab Tree Hab;COMMUNITY;Infrastructure;;;;;;;;;;;11;;;;15;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;
36;2005;Fiskars Universal Convenience Cutter;WORK;Working conditions;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;2005;Flexor- active wheelchair prototype;BODY;Health;;;;;;;;;;10;;;;;;;;;;;;;6;;;;;;;13;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;
38;2005;Ford Plant Green Roof;COMMUNITY;Infrastructure;;;;;;;;;;;;;13;;15;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;
39;2005;Google;COMMUNITY;Infrastructure;;;;4;;;;8;;10;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;25;;;;29;30;;;;;;;;;;;;;;
40;2005;GRID;PLAY_LEARNING;Leisure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;
41;2005;Grippa Clips to Stop Bag Dippers and Lifters;COMMUNITY;Safety;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;2005;Guaraná Power;WORK;Working conditions;1;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;
43;2005;Harvester Heat;HOME;Energy;;;;;;;7;;;;;;;;;;;;;;;;;;;;;11;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;2005;HealthNet;BODY;Health;;;3;;;;;;9;;;;;;;;;;;;;;;7;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;2005;Hippo Roller;HOME;Water;;;;;5;6;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;2005;Home Tanker 100L;HOME;Water;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;
47;2005;Håg Swing;WORK;Working conditions;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;2005;iBOT™ Mobility System;BODY;Health;;;;;;;;;;10;;;;;;;;;;;;;6;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;2005;iMac G5;WORK;Digitalization;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;2005;InterPlay;PLAY_LEARNING;Digitalization;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;32;33;;;;;;;;;;;
51;2005;iPlus 2G3G with WiFi;COMMUNITY;Infrastructure;;;;;;;;;;;11;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;
52;2005;Karrysafe bags and accessories;BODY;Safety;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;2005;Kinkajou Portable Library and Projector;PLAY_LEARNING;Education;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;29;30;;;;;;;;;;;;;;
54;2005;Kurumono Kitchen;HOME;Housing;;;;;;;;;9;10;;;;;;;;;;;4;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;38;;;;;;
55;2005;LIFESTRAW;HOME;Water;;;3;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;
56;2005;LINUX;COMMUNITY;Infrastructure;;;;;;;;;9;10;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;2005;MAGNETUDE;PLAY_LEARNING;Leisure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;;;;;;;;;;
58;2005;Material Explorer – Material Selection Support Tool for Designers;WORK;Digitalization;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;34;;;;;;;;;;
59;2005;MICUS stretcher;BODY;Health;;;3;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;2005;Mobile.Seed;COMMUNITY;Enviroment;;;;;;;;;;;;12;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;2005;Moon;HOME;Sustainable living;;;;;;;;;;;;12;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;;
62;2005;Museu da Casa Brasileira, Education and exhibitions;PLAY_LEARNING;Education;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;27;;;30;31;;;;;;;;;;;;;
63;2005;ÑANDEVA – Three-National Design & handicraft project;PLAY_LEARNING;Education;;;;;;;;8;9;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;30;;;;;;;;;;;;;;
64;2005;NCC Concept House – the house without energy bills;HOME;Energy;;;;;;;7;;;;11;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;37;;;;;;;
65;2005;Neotopia – Atlas of equitable distribution of the world;PLAY_LEARNING;Education;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;
66;2005;NurseBot: Personal Mobile Robotic Assistants for the Elderly;WORK;Digitalization;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;2005;OBSERVATORIO IBEROAMERICANO;PLAY_LEARNING;Education;1;;;4;;;;8;9;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;21;;;;;;;;;30;;;;;;;;;;;;;;
68;2005;ORBIS Flying Eye Hospital;BODY;Health;;;3;;;;;;9;;;;;;;;;;;;;;;;;;;;;13;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;
69;2005;OUTREACH, Designs for a Mobile Health Clinic to Combat HIV/AIDS in Africa;COMMUNITY;Infrastructure;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;
70;2005;paraSITE: New York City variant (2000-present);HOME;Housing;1;;;;;;;;;10;;;;;;;;;;;;;;;;;10;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;2005;Personal Water Cleaner OPV;HOME;Water;;;3;;;6;;;;;;;;;;;;;;;;;;;8;9;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;
72;2005;Power Mac 5/Cinema Display system;PLAY_LEARNING;Digitalization;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;2005;Project Fox;COMMUNITY;Communication;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;2005;Project Infusion;WORK;Poverty;1;;;;;;;;;10;;;;;;;;;;;;;;;;;;;12;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;
75;2005;Rescuerunner;WORK;Working conditions;;;;;;;;;9;;;;;;;;;;;;;;;;;9;;;12;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;
76;2005;RIQUADRO Design data contextualization and analysis system;PLAY_LEARNING;Digitalization;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;2005;Round Zone Container;HOME;Sustainable living;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;2005;Sandbug and Gofer;WORK;Working conditions;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;
79;2005;ScooterDesk;WORK;Working conditions;;;3;;;;;8;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;
80;2005;SIM Carpet Simulation;COMMUNITY;Enviroment;;;;;;;;;;;;12;;;;;;;;;;;;;8;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;2005;Simple Toilet-Emergency Sanitation;BODY;Health;;;3;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;
82;2005;SimplyCity;COMMUNITY;Infrastructure;;;;;;;;;;;11;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;2005;SitBag;PLAY_LEARNING;Leisure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;
84;2005;Skype;COMMUNITY;Communication;;;;;;;;8;;10;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;
85;2005;Snail Housetrap;HOME;Sustainable living;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;
86;2005;Socialcommercialism;COMMUNITY;Enviroment;;;3;;;;;;;10;;12;;;;;;;;;;;;;8;;;;;;14;;;;;;;;;;;;;;;;;31;;;;;;;;;;41;;;
87;2005;SOFTWALL;HOME;Sustainable living;;;;;;;;;9;;;12;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;
88;2005;Solar pasteurisation unit;HOME;Water;;;3;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;
89;2005;Solar Surgery Light;WORK;Working conditions;;;3;;;;;8;;;;;;;;;;;;;;;;;;;;11;;;;15;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;
90;2005;SpaceShipOne;COMMUNITY;Transportation;;;;;;;;8;9;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;2005;SpeediCath Compact;BODY;Health;;;3;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;2005;SQFlex;HOME;Water;;;;;;6;7;;;;;;;;;;;;;;;;;;;;;11;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;
93;2005;Sun Shelter Pavilion, Frank Rice Safehaven;HOME;Housing;1;;;;;;;;;10;;;;;;;;;;;;;;;;;10;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;2005;Syopa (= cancer in Finnish) trademark;COMMUNITY;Communication;;;3;;;;;;;;;;;;;;17;;;3;;;;;8;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;
95;2005;Tank Park;PLAY_LEARNING;Leisure;;;;;;;;;;;;;;14;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;2005;Tennis racket pick-up ball accessory;PLAY_LEARNING;Leisure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;2005;The ‘RAM-Exchange': Informality as ICT Interface Model;WORK;Money;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;12;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;
98;2005;The “SOS” Infant Nursing Packs;BODY;Health;;;3;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;
99;2005;The EcoSource project;COMMUNITY;Enviroment;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;
100;2005;The Evolutionary Housing System;HOME;Housing;;;;;;;;;;;11;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;2005;The Helping Hand, IDAS I;BODY;Health;;;3;;;;;;9;;;;;;;;;;;3;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;2005;The Lifeport Kidney Transporter;BODY;Health;;;3;;;;;;9;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;2005;the vOICe;BODY;Health;;;;;;;;;9;10;;;;;;;;;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;2005;Toyota Prius;COMMUNITY;Transportation;;;;;;;;;9;;11;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;2005;Trijak – a new watercraft;PLAY_LEARNING;Leisure;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;
