År;I alt ;Category;Antal;Category;Antal;Category;Antal;Category;Antal;Category;Antal
2005;113;BODY;23;HOME;24;WORK;13;PLAY_LEARNING;22;COMMUNITY;31
;;Food;0;Cities;0;Money;1;Digitalization;5;Inequality;1
;;Hunger;0;Housing;6;Unemployment;0;Education;5;Energy;2
;;Health;20;Sustainable living;6;Poverty;1;Leisure;12;Enviroment;6
;;Sustainable living;0;Water;7;Working conditions;7;Diversity;0;Climate;0
;;Safety;3;Sanitation;0;Digitalization;4;Indifference;0;Goverment;1
;;;;Energy;3;;;;;Infrastructure;11
;;;;Digitalization;1;;;;;Transportation;5
;;;;Safety;1;;;;;Communication;4
;;;;;;;;;;Safety;1
;;;;;;;;;;;
År;I alt ;Category;Antal;Category;Antal;Category;Antal;Category;Antal;Category;Antal
2007;104;BODY;20;HOME;26;WORK;17;PLAY_LEARNING;14;COMMUNITY;27
;;Food;0;Cities;0;Money;1;Digitalization;0;Inequality;6
;;Hunger;0;Housing;6;Unemployment;0;Education;10;Energy;2
;;Health;13;Sustainable living;12;Poverty;0;Leisure;4;Enviroment;5
;;Sustainable living;1;Water;1;Working conditions;13;Diversity;0;Climate;1
;;Safety;6;Sanitation;1;Digitalization;3;Indifference;0;Goverment;1
;;;;Energy;3;;;;;Infrastructure;1
;;;;Digitalization;0;;;;;Transportation;5
;;;;Safety;3;;;;;Communication;3
;;;;;;;;;;Safety;3
;;;;;;;;;;;
År;I alt ;Category;Antal;Category;Antal;Category;Antal;Category;Antal;Category;Antal
2009;69;BODY;13;HOME;21;WORK;3;PLAY_LEARNING;11;COMMUNITY;21
;;Food;1;Cities;0;Money;1;Digitalization;2;Inequality;1
;;Hunger;0;Housing;5;Unemployment;0;Education;7;Energy;4
;;Health;10;Sustainable living;5;Poverty;0;Leisure;2;Enviroment;3
;;Sustainable living;0;Water;4;Working conditions;2;Diversity;0;Climate;0
;;Safety;2;Sanitation;0;Digitalization;0;Indifference;0;Goverment;1
;;;;Energy;4;;;;;Infrastructure;3
;;;;Digitalization;1;;;;;Transportation;1
;;;;Safety;2;;;;;Communication;5
;;;;;;;;;;Safety;3
;;;;;;;;;;;
År;I alt ;Category;Antal;Category;Antal;Category;Antal;Category;Antal;Category;Antal
2011;58;BODY;11;HOME;16;WORK;4;PLAY_LEARNING;10;COMMUNITY;17
;;Food;0;Cities;0;Money;0;Digitalization;0;Inequality;1
;;Hunger;0;Housing;2;Unemployment;2;Education;7;Energy;0
;;Health;11;Sustainable living;6;Poverty;0;Leisure;3;Enviroment;1
;;Sustainable living;0;Water;5;Working conditions;2;Diversity;0;Climate;0
;;Safety;0;Sanitation;0;Digitalization;0;Indifference;0;Goverment;0
;;;;Energy;2;;;;;Infrastructure;3
;;;;Digitalization;0;;;;;Transportation;3
;;;;Safety;1;;;;;Communication;6
;;;;;;;;;;Safety;3
;;;;;;;;;;;
År;I alt ;Category;Antal;Category;Antal;Category;Antal;Category;Antal;Category;Antal
2013;69;BODY;17;HOME;12;WORK;5;PLAY_LEARNING;11;COMMUNITY;24
;;Food;3;Cities;0;Money;0;Digitalization;3;Inequality;1
;;Hunger;0;Housing;1;Unemployment;1;Education;6;Energy;2
;;Health;11;Sustainable living;6;Poverty;0;Leisure;1;Enviroment;8
;;Sustainable living;0;Water;1;Working conditions;1;Diversity;1;Climate;4
;;Safety;3;Sanitation;0;Digitalization;3;Indifference;0;Goverment;0
;;;;Energy;4;;;;;Infrastructure;2
;;;;Digitalization;0;;;;;Transportation;1
;;;;Safety;0;;;;;Communication;3
;;;;;;;;;;Safety;3
;;;;;;;;;;;
År;I alt ;Category;Antal;Category;Antal;Category;Antal;Category;Antal;Category;Antal
2015;46;BODY;8;HOME;9;WORK;11;PLAY_LEARNING;9;COMMUNITY;9
;;Food;0;Cities;0;Money;3;Digitalization;4;Inequality;0
;;Hunger;0;Housing;2;Unemployment;1;Education;5;Energy;0
;;Health;7;Sustainable living;1;Poverty;1;Leisure;0;Enviroment;4
;;Sustainable living;1;Water;2;Working conditions;4;Diversity;0;Climate;1
;;Safety;0;Sanitation;0;Digitalization;2;Indifference;0;Goverment;0
;;;;Energy;2;;;;;Infrastructure;1
;;;;Digitalization;1;;;;;Transportation;1
;;;;Safety;1;;;;;Communication;2
;;;;;;;;;;Safety;0
;;;;;;;;;;;
;459;;92;;216;;106;;154;;258